title,artist,mood,genre,activity,energy
Space Song,Beach House,dreamy sad calm,indie,studying walking,medium
Moon Song,Phoebe Bridgers,sad soft reflective,indie,studying crying walking,low
Fourth of July,Sufjan Stevens,sad quiet emotional,folk indie,studying reflection,low
212,Azealia Banks,chaotic energetic aggressive,rap electronic,workout party,high
Heads Will Roll,Yeah Yeah Yeahs,energetic dark dance,rock electronic,workout party,high
B.O.B.,OutKast,chaotic fast energetic,rap,workout running,high
Hard Times,Paramore,bright anxious energetic,pop rock,walking cleaning,high
Motion Sickness,Phoebe Bridgers,bitter sad reflective,indie,walking journaling,medium
Midnight City,M83,dreamy energetic neon,electronic,night walking,high
Eventually,Tame Impala,psychedelic sad dreamy,indie rock,reflection walking,medium
